2019,2020,2021,통합 변수명
ID,ID,ID,ID
MON_EXP_1,MON_EXP_1,MON_EXP_1,여행경험여부
D_TRA1_EMONTH,D_TRA1_EMONTH,D_TRA1_EMONTH,when_travel
D_TRA1_S_Day,D_TRA1_S_Day,D_TRA1_S_Day,travel_day
D_TRA1_COST,D_TRA1_COST,D_TRA1_COST,travel_cost
D_TRA1_1_SPOT,D_TRA1_1_SPOT,D_TRA1_1_SPOT,spot_1
D_TRA1_2_SPOT,D_TRA1_2_SPOT,D_TRA1_2_SPOT,spot_2
D_TRA1_3_SPOT,D_TRA1_3_SPOT,D_TRA1_3_SPOT,spot_3
sleep_1,D_TRA1_1_Q6,D_TRA1_1_Q6,sleep_1
sleep_2,D_TRA1_2_Q6,D_TRA1_2_Q6,sleep_2
sleep_3,D_TRA1_3_Q6,D_TRA1_3_Q6,sleep_3
A5_1,A1_1,A1_1,A1_1
A5_2,A1_2,A1_2,A1_2
A5_3,A1_3,A1_3,A1_3
A2_1,A4_1,A4_1,A4_1
A2_2,A4_2,A4_2,A4_2
A2_3,A4_3,A4_3,A4_3
A3_1,A5_1,A5_1,A5_1
A3_2,A5_2,A5_2,A5_2
A3_3,A5_3,A5_3,A5_3
A3_4,A5_4,A5_4,A5_4
A3_5,A5_5,A5_5,A5_5
A3_6,A5_6,A5_6,A5_6
A3_7,A5_7,A5_7,A5_7
A3_8,A5_8,A5_8,A5_8
A3_9,A5_9,A5_9,A5_9
A3_10,A5_10,A5_10,A5_10
A3_11,A5_11,A5_11,A5_11
A3_12,A5_12,A5_12,A5_12
A3_13,A5_13,A5_13,A5_13
A3_14,A5_14,A5_14,A5_14
A3_15,A5_15,A5_15,A5_15
A3_16,A5_16,A5_16,A5_16
A3_17,A5_17,A5_17,A5_17
A3_18,A5_18,A5_18,A5_18
A3_19,A5_19,A5_19,A5_19
A3_20,A5_20,A5_20,A5_20
A3_21,A5_21,A5_21,A5_21
A7,A7,A7,A7
A12,A11,A10,A10
A10A_1,A11A_1,A10A_1,A10A_1
A10A_2,A11A_2,A10A_2,A10A_2
A10A_3,A11A_3,A10A_3,A10A_3
A10A_4,A11A_4,A10A_4,A10A_4
A10A_5,A11A_5,A10A_5,A10A_5
A10A_6,A11A_6,A10A_6,A10A_6
A10A_7,A11A_7,A10A_7,A10A_7
A10A_8,A11A_8,A10A_8,A10A_8
A10A_9,A11A_9,A10A_9,A10A_9
A10A_10,A11A_10,A10A_10,A10A_10
A10A_11,A11A_11,A10A_11,A10A_11
A10A_12,A11A_12,A10A_12,A10A_12
A13,A12,A11,A11
D_1,D_1,B9_1,B9_1
D_2,D_2,B9_2,B9_2
D_3,D_3,B9_3,B9_3
DQ6A,DQ6A,DQ6A,DQ6A
DQ6B,DQ6B,DQ6B,DQ6B
BSEX,BSEX,BSEX,BSEX
BAGE,BAGE,BAGE,BAGE
BARA,BARA,BARA,BARA
